scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,Head,Head,Head,LeftPaw,LeftPaw,LeftPaw,Back,Back,Back
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
56,958.2166137695312,600.7427368164062,0.0004050132120028138,1012.4901733398438,602.9064331054688,0.0004290545475669205,1040.474609375,597.7568969726562,0.0003698375658132136
57,958.1347045898438,600.7645263671875,0.00040524709038436413,1012.0916748046875,602.9037475585938,0.00042813486652448773,1040.0406494140625,597.8505249023438,0.0003691644815262407
58,958.0647583007812,600.7509155273438,0.00040535832522436976,1012.0089721679688,602.9677124023438,0.00042861723341047764,1039.897216796875,598.0470581054688,0.00036978741991333663
59,958.0095825195312,600.7185668945312,0.00040497008012607694,1011.9244995117188,602.796630859375,0.0004292084486223757,1039.873046875,597.5745239257812,0.00037066315417177975
60,958.1176147460938,600.7342529296875,0.0004051860305480659,1012.40478515625,603.0423583984375,0.00042787849088199437,1040.6390380859375,597.9298095703125,0.00036857702070847154
61,958.0972900390625,600.755126953125,0.00040527296368964016,1012.0679321289062,602.97509765625,0.00042791408486664295,1040.01806640625,598.0435791015625,0.00036860673571936786
62,958.082763671875,600.72412109375,0.0004051918804179877,1012.1138305664062,602.7273559570312,0.00042903143912553787,1040.004638671875,597.374755859375,0.0003699252556543797
63,958.0599365234375,600.7526245117188,0.0004051780269946903,1012.13818359375,603.1605834960938,0.0004285838804207742,1040.1571044921875,598.2391967773438,0.0003697928914334625
64,958.0668334960938,600.72509765625,0.0004053135635331273,1012.1647338867188,603.1865234375,0.000428824161645025,1040.1947021484375,598.3230590820312,0.0003700287197716534
65,958.095458984375,600.7781982421875,0.00040512674604542553,1012.4169921875,602.9879150390625,0.0004299763822928071,1040.33544921875,597.8282470703125,0.00037069289828650653
66,958.07861328125,600.7615966796875,0.0004051618743687868,1012.3558349609375,602.9141235351562,0.0004289065836928785,1040.3271484375,597.7161865234375,0.000369490880984813
67,958.0588989257812,600.7282104492188,0.00040517287561669946,1012.4710083007812,602.97705078125,0.0004292442463338375,1040.416015625,597.8742065429688,0.00037066268851049244
68,958.0502319335938,600.7376708984375,0.00040505535434931517,1012.701904296875,602.9358520507812,0.000428482104325667,1040.8939208984375,597.5931396484375,0.00036868598544970155
69,958.084716796875,600.7701416015625,0.00040531886043027043,1012.5526733398438,602.6932373046875,0.0004275827668607235,1040.6834716796875,597.66748046875,0.0003674065228551626
70,958.1494750976562,600.8333129882812,0.00040514173451811075,1011.827880859375,602.7305297851562,0.0004291516088414937,1039.503173828125,597.5757446289062,0.00037191269802860916
71,958.1087036132812,600.76318359375,0.00040508658275939524,1012.5210571289062,602.6903076171875,0.00042822639807127416,1040.6204833984375,597.3385009765625,0.00036826811265200377
72,958.1411743164062,600.7691040039062,0.00040508329402655363,1012.5402221679688,602.6700439453125,0.00042845483403652906,1040.549560546875,597.638671875,0.00036909873597323895
73,958.1049194335938,600.7777099609375,0.00040525704389438033,1012.23583984375,602.899169921875,0.00042843754636123776,1040.2803955078125,597.9635620117188,0.0003688969009090215
74,958.1180419921875,600.7691650390625,0.0004052262520417571,1012.395751953125,602.7011108398438,0.0004285919712856412,1040.384033203125,597.5010375976562,0.00036902230931445956
75,958.101318359375,600.7671508789062,0.00040516583248972893,1012.4175415039062,602.5963134765625,0.0004286783223506063,1040.1951904296875,597.5310668945312,0.00036946579348295927
76,954.52099609375,601.3981323242188,0.0004033156728837639,1005.2523803710938,604.1137084960938,0.00043096853187307715,1035.558837890625,599.0067138671875,0.0003699611406773329
77,935.213623046875,605.48974609375,0.00039087265031412244,991.818359375,606.5601196289062,0.0004346749046817422,1033.0791015625,599.0658569335938,0.00036996646667830646
78,817.7734375,630.8814086914062,0.000322197302011773,970.99169921875,610.9842529296875,0.0004146127903368324,1032.3634033203125,599.1058349609375,0.0003704167902469635
79,708.21923828125,652.0291137695312,0.00027857511304318905,972.0498657226562,610.8434448242188,0.00042152596870437264,1031.6197509765625,599.8848876953125,0.00037401934969238937
80,599.227294921875,683.877197265625,0.00024275470059365034,942.5199584960938,618.3505859375,0.0003676443884614855,1032.8505859375,599.3662719726562,0.0003698884102050215
81,870.5697021484375,622.4224853515625,0.00034273607889190316,981.0081787109375,609.620361328125,0.000429349864134565,1033.8499755859375,599.35498046875,0.00036890391493216157
82,896.4647216796875,616.012451171875,0.00035874597961083055,985.6407470703125,608.4511108398438,0.00043126026866957545,1034.704833984375,599.2946166992188,0.00036877847742289305
83,920.0587158203125,610.0751342773438,0.0003765008004847914,991.2386474609375,606.7117309570312,0.00043441460002213717,1034.438232421875,598.3668823242188,0.0003707828582264483
84,900.2153930664062,613.86083984375,0.00036036281380802393,986.1372680664062,608.0780029296875,0.00043216958874836564,1033.1241455078125,599.35302734375,0.0003702084068208933
85,898.3685302734375,614.182861328125,0.00035936187487095594,988.8516845703125,607.5316162109375,0.000432480126619339,1033.6932373046875,599.236328125,0.00036969600478187203
86,948.6028442382812,602.96435546875,0.00039928071782924235,1003.0952758789062,604.30224609375,0.0004295294638723135,1036.1934814453125,598.2967529296875,0.0003694371262099594
87,953.6754150390625,601.781005859375,0.00040293947677128017,1006.3984985351562,604.04443359375,0.0004330623196437955,1037.127197265625,598.697265625,0.00037196444463916123
88,953.4716796875,601.7999877929688,0.00040278391679748893,1006.1106567382812,603.8224487304688,0.0004322338500060141,1036.693115234375,598.326904296875,0.00037099176552146673
89,934.5912475585938,606.791015625,0.00038942531682550907,998.5233764648438,605.5697631835938,0.00043357571121305227,1033.1009521484375,599.2886962890625,0.000370013527572155
90,924.3057250976562,609.7931518554688,0.00037776888348162174,997.2628173828125,605.9056396484375,0.00043213542085140944,1031.462890625,599.6489868164062,0.00037255987990647554
91,168.5830535888672,850.6181640625,0.43023067712783813,970.976806640625,613.5986328125,0.00041033062734641135,1025.176513671875,602.504638671875,0.0003697439969982952
92,184.357177734375,890.5341186523438,0.6689411997795105,925.4491577148438,629.2776489257812,0.0003296791110187769,1017.2538452148438,605.5372924804688,0.00037411582889035344
93,192.05776977539062,892.8934326171875,0.9473114013671875,777.3837890625,684.5240478515625,0.00026343559147790074,1014.083740234375,606.7124633789062,0.00037719274405390024
94,191.44102478027344,889.9805908203125,0.6500055193901062,943.8138427734375,623.1392211914062,0.0003621839568950236,1018.6129760742188,605.2254638671875,0.00037402837187983096
95,940.2142333984375,605.4398193359375,0.0003924707998521626,996.81494140625,605.9797973632812,0.0004323378670960665,1030.0438232421875,599.8773803710938,0.00037295868969522417
